,Pincode,latitude,longitude,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
0,560001,12.973012800000001,77.6035673,12.972962800000001,12.973062800000001,77.6035173,77.6036173
1,560002,12.9650043,77.579972,12.9649543,12.9650543,77.579922,77.580022
2,560003,12.998544,77.570474,12.998494,12.998594,77.570424,77.570524
3,560004,12.9389507,77.5739816,12.9389007,12.9390007,77.5739316,77.5740316
4,560005,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
5,560006,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
6,560007,12.968620300000001,77.6310733,12.968570300000001,12.968670300000001,77.6310233,77.6311233
7,560008,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
8,560009,12.975971699999999,77.5762056,12.975921699999999,12.976021699999999,77.57615559999999,77.5762556
9,560010,12.991037599999999,77.54968520000001,12.990987599999999,12.991087599999998,77.54963520000001,77.5497352
10,560011,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
11,560012,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
12,560013,13.0384651,77.5370478,13.0384151,13.0385151,77.5369978,77.5370978
13,560015,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
14,560016,12.993447699999999,77.5548788,12.9933977,12.9934977,77.5548288,77.5549288
15,560017,12.958305300000001,77.6607098,12.958255300000001,12.958355300000001,77.6606598,77.6607598
16,560018,12.9646751,77.5739449,12.9646251,12.964725099999999,77.5738949,77.5739949
17,560020,12.9897349,77.57822159999999,12.9896849,12.9897849,77.57817159999999,77.5782716
18,560021,12.9938396,77.5556207,12.9937896,12.9938896,77.5555707,77.55567070000001
19,560022,13.025687,77.547708,13.025637,13.025737,77.547658,77.547758
20,560023,12.977376,77.5641886,12.977326,12.977426,77.56413859999999,77.5642386
21,560024,13.023692500000001,77.5843619,13.023642500000001,13.0237425,77.5843119,77.5844119
22,560025,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
23,560026,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
24,560027,12.9594416,77.6001287,12.9593916,12.9594916,77.6000787,77.6001787
25,560029,12.9238253,77.6094141,12.9237753,12.9238753,77.6093641,77.6094641
26,560030,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
27,560032,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
28,560033,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
29,560034,13.031526199999998,77.67987825,12.8246015,13.238450899999998,77.4601025,77.899654
30,560035,12.938522599999999,77.6267455,12.938472599999999,12.938572599999999,77.6266955,77.6267955
31,560036,12.987086,77.7369762,12.987036,12.987136,77.7369262,77.7370262
32,560037,12.9706141,77.6889474,12.9705641,12.9706641,77.6888974,77.6889974
33,560038,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
34,560040,12.9789189,77.5439537,12.9788689,12.9789689,77.5439037,77.5440037
35,560041,12.9245272,77.5870647,12.9244772,12.9245772,77.5870147,77.5871147
36,560042,12.9747158,77.61442459999999,12.9746658,12.974765800000002,77.61437459999999,77.6144746
37,560043,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
38,560045,13.0572067,77.624549,13.0571567,13.0572567,77.624499,77.624599
39,560046,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
40,560047,12.9662165,77.6142541,12.9661665,12.9662665,77.6142041,77.6143041
41,560048,12.9925026,77.6904602,12.9924526,12.9925526,77.6904102,77.6905102
42,560049,12.987086,77.7369762,12.987036,12.987136,77.7369262,77.7370262
43,560050,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
44,560051,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
45,560053,12.9715696,77.5945536,12.971519599999999,12.9716196,77.5945036,77.5946036
46,560054,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
