Pincode,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
560001,12.8340125,13.1436649,77.4601025,77.7840515
560002,12.8340125,13.1436649,77.4601025,77.7840515
560003,12.8340125,13.1436649,77.4601025,77.7840515
560004,12.8340125,13.1436649,77.4601025,77.7840515
560005,12.8340125,13.1436649,77.4601025,77.7840515
560006,12.8340125,13.1436649,77.4601025,77.7840515
560007,12.8340125,13.1436649,77.4601025,77.7840515
560008,12.8340125,13.1436649,77.4601025,77.7840515
560009,12.8340125,13.1436649,77.4601025,77.7840515
560010,12.8340125,13.1436649,77.4601025,77.7840515
560011,12.8340125,13.1436649,77.4601025,77.7840515
560012,12.8340125,13.1436649,77.4601025,77.7840515
560013,12.8340125,13.1436649,77.4601025,77.7840515
560015,12.8340125,13.1436649,77.4601025,77.7840515
560016,12.8340125,13.1436649,77.4601025,77.7840515
560017,12.8340125,13.1436649,77.4601025,77.7840515
560018,12.8340125,13.1436649,77.4601025,77.7840515
560020,12.8340125,13.1436649,77.4601025,77.7840515
560021,12.8340125,13.1436649,77.4601025,77.7840515
560022,12.8340125,13.1436649,77.4601025,77.7840515
560023,12.8340125,13.1436649,77.4601025,77.7840515
560024,12.8340125,13.1436649,77.4601025,77.7840515
560025,12.8340125,13.1436649,77.4601025,77.7840515
560026,12.8340125,13.1436649,77.4601025,77.7840515
560027,12.8340125,13.1436649,77.4601025,77.7840515
560029,12.8340125,13.1436649,77.4601025,77.7840515
560030,12.8340125,13.1436649,77.4601025,77.7840515
560032,12.8340125,13.1436649,77.4601025,77.7840515
560033,12.8340125,13.1436649,77.4601025,77.7840515
560034,12.8246015,13.238450899999998,77.4601025,77.899654
560035,12.8340125,13.1436649,77.4601025,77.7840515
560036,12.7190577,13.2235418,77.4601025,77.7840515
560037,12.8340125,13.1436649,77.4601025,77.7840515
560038,12.8340125,13.1436649,77.4601025,77.7840515
560040,12.8340125,13.1436649,77.4601025,77.7840515
560041,12.8340125,13.1436649,77.4601025,77.7840515
560042,12.8340125,13.1436649,77.4601025,77.7840515
560043,12.8340125,13.1436649,77.4601025,77.7840515
560045,12.8340125,13.1436649,77.4601025,77.7840515
560046,12.8340125,13.1436649,77.4601025,77.7840515
560047,12.8340125,13.1436649,77.4601025,77.7840515
560048,12.8340125,13.1436649,77.4601025,77.7840515
560049,12.7174961,13.3552382,77.2813277,77.8747532
560050,12.8340125,13.1436649,77.4601025,77.7840515
560051,12.8340125,13.1436649,77.4601025,77.7840515
560053,12.8340125,13.1436649,77.4601025,77.7840515
560054,12.8340125,13.1436649,77.4601025,77.7840515
560055,12.8340125,13.1436649,77.4601025,77.7840515
560056,12.8340125,13.1436649,77.4601025,77.7840515
560057,12.8340125,13.1436649,77.4601025,77.7840515
560058,12.8340125,13.1436649,77.4601025,77.7840515
560059,12.8340125,13.1436649,77.4601025,77.7840515
560060,12.8340125,13.2430654,77.24464470000002,77.9694105
560061,12.8340125,13.1436649,77.4601025,77.7840515
560062,12.8340125,13.1436649,77.4601025,77.7840515
560063,12.8340125,13.1436649,77.4601025,77.7840515
560064,12.8340125,13.4654965,77.2217445,77.9884227
560065,12.8340125,13.1436649,77.4601025,77.7840515
