Pincode,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
562123,12.8038977,13.6233467,77.024114,77.9863942
562125,12.8059815,13.5164256,77.4772385,77.93194749999998
562126,,,,
562127,,,,
562128,,,,
562129,12.7582588,13.392524599999998,77.17275479999998,77.9336136
562130,12.7270321,13.407352,77.16380129999997,77.9743375
562132,12.7978377,13.3552382,77.276172,77.9186305
562135,12.8408656,13.4272056,77.4857245,77.9587307
562149,12.8110442,13.475622,77.366528,77.8906844
562157,12.8830993,13.3700993,77.4085758,77.8220825
562159,13.172457,13.212457,77.23291479999997,77.2729148
562162,12.7174961,13.459241699999998,77.1748123,77.88943559999998
562163,13.0932252,13.461137,77.17538090000002,77.9066177
562164,12.7174961,13.3700993,77.2813277,77.7902297
